3400.42	63.0863
3399.51	49.3719
3398.6	65.8199
3397.68	49.358
3396.77	43.8676
3395.86	76.7574
3394.95	52.078
3394.04	49.3301
3393.12	52.0633
3392.21	49.3162
3391.3	52.0486
3390.39	54.7803
3389.47	60.2498
3388.56	65.7177
3387.65	52.0192
3386.73	76.649
3385.82	60.2157
3384.91	73.8907
3383.99	62.935
3383.08	49.2465
3382.17	57.4462
3381.25	62.9084
3380.34	32.8171
3379.42	60.1562
3378.51	54.6797
3377.59	60.1392
3376.68	49.1979
3375.76	57.3894
3374.85	51.9164
3373.93	40.9808
3373.02	46.4384
3372.1	49.1631
3371.19	62.8106
3370.27	57.3407
3369.36	73.7134
3368.44	51.8651
3367.53	46.399
3366.61	51.8504
3365.69	49.1145
3364.78	62.7485
3363.86	73.6509
3362.94	43.6388
3362.03	62.7219
3361.11	38.1732
3360.19	54.5254
3359.28	54.5177
3358.36	54.51
3357.44	70.8529
3356.52	59.944
3355.61	57.2112
3354.69	51.7552
3353.77	51.7479
3352.85	49.0174
3351.93	65.3472
3351.02	57.1708
3350.1	62.6067
3349.18	62.5979
3348.26	51.704
3347.34	59.8593
3346.42	62.5713
3345.5	57.1223
3344.58	59.8339
3343.66	46.2287
3342.74	67.9738
3341.83	46.2157
3340.91	51.6455
3339.99	51.6382
3339.07	57.0657
3338.15	43.4725
3337.23	43.4663
3336.3	67.9065
3335.38	54.3176
3334.46	46.1634
3333.54	62.4475
3332.62	35.2914
3331.7	54.2868
3330.78	54.2791
3329.86	48.8443
3328.94	62.4033
3328.02	62.3945
3327.09	56.9608
3326.17	51.5287
3325.25	65.0797
3324.33	43.3803
3323.41	40.6633
3322.48	51.4995
3321.56	81.3035
3320.64	73.1628
3319.72	37.9309
3318.79	56.8883
3317.87	67.7146
3316.95	48.7476
3316.02	46.0329
3315.1	46.0264
3314.18	64.9692
3313.25	62.2533
3312.33	62.2445
3311.41	54.118
3310.48	48.6993
3309.56	54.1027
3308.63	70.3235
3307.71	54.0874
3306.78	56.7837
3305.86	35.1468
3304.93	51.3612
3304.01	51.3539
3303.08	56.7515
3302.16	70.2538
3301.23	64.8405
3300.31	48.6235
3299.38	72.9249
3298.46	59.4119
3297.53	37.8022
3296.61	67.4944
3295.68	56.6872
3294.75	40.4852
3293.83	56.6712
3292.9	62.0596
3291.97	56.6551
3291.05	70.1345
3290.12	59.3362
3289.19	62.0245
3288.27	51.2304
3287.34	56.615
3286.41	48.5203
3285.48	61.9893
3284.56	59.2857
3283.63	78.1383
3282.7	64.657
3281.77	64.6479
3280.84	61.9454
3279.91	59.2437
3278.99	67.3129
3278.06	72.6876
3277.13	53.835
3276.2	75.3584
3275.27	67.2747
3274.34	67.2652
3273.41	69.9459
3272.48	59.1766
3271.55	75.305
3270.62	59.1598
3269.69	86.0384
3268.76	67.208
3267.83	72.5743
3266.9	91.3769
3265.97	99.4255
3265.04	85.9774
3264.11	112.829
3263.18	107.441
3262.25	115.483
3261.32	123.522
3260.39	128.875
3259.46	174.493
